अ	अ |
गुजरातभवने	ग ु ज र ा त भ व न े |
गुजरातराज्यस्य	ग ु ज र ा त र ा ज ् य स ् य |
गुजरातस्य	ग ु ज र ा त स ् य |
गुजराते	ग ु ज र ा त े |
गुजरात्रक्षिबलेन	ग ु ज र ा त ् र क ् ष ि ब ल े न |
गुजरात्विधानसभायाः	ग ु ज र ा त ् व ि ध ा न स भ ा य ा ः |
गुटखाताम्बूलसौगन्धिकानाम्	ग ु ट ख ा त ा म ् ब ू ल स ौ ग न ् ध ि क ा न ा म ् |
गुणवत्तायुतोत्पादनक्षमतां	ग ु ण व त ् त ा य ु त ो त ् प ा द न क ् ष म त ा ं |
गुप्तिस्थात्रमेकं	ग ु प ् त ि स ् थ ा त ् र म े क ं |
गुरु	ग ु र ु |
गुरुर्ब्रह्मा	ग ु र ु र ् ब ् र ह ् म ा |
गुरुर्विष्णुर्गुरुर्देवो	ग ु र ु र ् व ि ष ् ण ु र ् ग ु र ु र ् द े व ो |
गुरुस्साक्षात्	ग ु र ु स ् स ा क ् ष ा त ् |
गुरोः	ग ु र ो ः |
गुलमुहम्मद्भटः	ग ु ल म ु ह म ् म द ् भ ट ः |
गुल्मः	ग ु ल ् म ः |
गुहां	ग ु ह ा ं |
गुह्य	ग ु ह ् य |
गुह्यसम्मत्या	ग ु ह ् य स म ् म त ् य ा |
गृह	ग ृ ह |
गृहं	ग ृ ह ं |
गृहम्	ग ृ ह म ् |
गृहस्थस्य	ग ृ ह स ् थ स ् य |
गृहस्सेन	ग ृ ह स ् स े न |
गृहाणि	ग ृ ह ा ण ि |
गृहिणीनाञ्च	ग ृ ह ि ण ी न ा ञ ् च |
गृहेषु	ग ृ ह े ष ु |
गृह्णन्ति	ग ृ ह ् ण न ् त ि |
गृह्य	ग ृ ह ् य |
गृह्यते	ग ृ ह ् य त े |
गृह्यसूत्र	ग ृ ह ् य स ू त ् र |
गृह्यस्य	ग ृ ह ् य स ् य |
गृह्याणि	ग ृ ह ् य ा ण ि |
गृह्यानि	ग ृ ह ् य ा न ि |
गेल्समवायीयवाति	ग े ल ् स म व ा य ी य व ा त ि |
गोटो	ग ो ट ो |
गोत्र	ग ो त ् र |
गोत्रोत्पन्नाः	ग ो त ् र ो त ् प न ् न ा ः |
गोदान	ग ो द ा न |
गोदानस्य	ग ो द ा न स ् य |
गोधूमं	ग ो ध ू म ं |
गोधूमस्य	ग ो ध ू म स ् य |
गोपाल	ग ो प ा ल |
गोपालकः	ग ो प ा ल क ः |
गोपीनाथ	ग ो प ी न ा थ |
गोपीनाथाभ्यां	ग ो प ी न ा थ ा भ ् य ा ं |
गोमतल्लिका	ग ो म त ल ् ल ि क ा |
गोरक्षितं	ग ो र क ् ष ि त ं |
गोलाघाट्क्षेत्रे	ग ो ल ा घ ा ट ् क ् ष े त ् र े |
गोलिका	ग ो ल ि क ा |
गोलिकाः	ग ो ल ि क ा ः |
गोलिकाप्रहाराः	ग ो ल ि क ा प ् र ह ा र ा ः |
गोलिकाप्रहारैः	ग ो ल ि क ा प ् र ह ा र ै ः |
गोलिकावर्षणं	ग ो ल ि क ा व र ् ष ण ं |
ग्	ग ् |
ग्ऋह्णीयुः	ग ् ऋ ह ् ण ी य ु ः |
ग्रन्थः	ग ् र न ् थ ः |
ग्रन्थस्य	ग ् र न ् थ स ् य |
ग्रन्थादपि	ग ् र न ् थ ा द प ि |
ग्रस्त	ग ् र स ् त |
ग्रस्तस्य	ग ् र स ् त स ् य |
ग्रस्ते	ग ् र स ् त े |
ग्रस्तो	ग ् र स ् त ो |
ग्रहं	ग ् र ह ं |
ग्रहकक्षायां	ग ् र ह क क ् ष ा य ा ं |
ग्रहणं	ग ् र ह ण ं |
ग्रहणसमाराम्भे	ग ् र ह ण स म ा र ा म ् भ े |
ग्रहपरि	ग ् र ह प र ि |
ग्रहिष्यति	ग ् र ह ि ष ् य त ि |
ग्रहीतम्	ग ् र ह ी त म ् |
ग्रामत्वेन	ग ् र ा म त ् व े न |
ग्रामम्	ग ् र ा म म ् |
ग्रामस्य	ग ् र ा म स ् य |
ग्रामाः	ग ् र ा म ा ः |
ग्रामीणक्षेत्रेषु	ग ् र ा म ी ण क ् ष े त ् र े ष ु |
ग्रामीणैः	ग ् र ा म ी ण ै ः |
ग्रामे	ग ् र ा म े |
ग्रामेषु	ग ् र ा म े ष ु |
ग्रासम्	ग ् र ा स म ् |
ग्राहकाः	ग ् र ा ह क ा ः |
ग्राह्य	ग ् र ा ह ् य |
ग्लास्गोनगरे	ग ् ल ा स ् ग ो न ग र े |
घटना	घ ट न ा |
घटनाः	घ ट न ा ः |
घटनायां	घ ट न ा य ा ं |
घटनायाः	घ ट न ा य ा ः |
घटनासु	घ ट न ा स ु |
घनिष्ठसमन्वयः	घ न ि ष ् ठ स म न ् व य ः |
घोषयिष्यति	घ ो ष य ि ष ् य त ि |
घोषितः	घ ो ष ि त ः |
ङ	ङ |
ङा	ङ ा |
ङ्	ङ ् |
च	च |
चकार	च क ा र |
चक्रपाणिः	च क ् र प ा ण ि ः |
चक्रुः	च क ् र ु ः |
चक्रे	च क ् र े |
चण्डीगढे	च ण ् ड ी ग ढ े |
चण्डीप्रसादभट्टः	च ण ् ड ी प ् र स ा द भ ट ् ट ः |
चतुः	च त ु ः |
चतुर्णामेव	च त ु र ् ण ा म े व |
चतुर्ण्णां	च त ु र ् ण ् ण ा ं |
चतुर्थ	च त ु र ् थ |
चतुर्दश	च त ु र ् द श |
चतुर्दशसदस्यात्मकं	च त ु र ् द श स द स ् य ा त ् म क ं |
चतुर्दशाधिकाष्ट	च त ु र ् द श ा ध ि क ा ष ् ट |
चतुर्दशोत्तरद्विसहस्रपञ्च	च त ु र ् द श ो त ् त र द ् व ि स ह स ् र प ञ ् च |
चतुर्दश्	च त ु र ् द श ् |
चतुर्भिः	च त ु र ् भ ि ः |
चतुर्वर्षात्मकं	च त ु र ् व र ् ष ा त ् म क ं |
चतुर्वर्षात्मकस्नातकपाठ्यक्रम	च त ु र ् व र ् ष ा त ् म क स ् न ा त क प ा ठ ् य क ् र म |
चतुर्वर्षात्मकस्नातकपाठ्यक्रमस्य	च त ु र ् व र ् ष ा त ् म क स ् न ा त क प ा ठ ् य क ् र म स ् य |
चतुर्विंशति	च त ु र ् व ि ं श त ि |
चतुर्विंशतिः	च त ु र ् व ि ं श त ि ः |
चतुर्विंशतिप्रश्नेषु	च त ु र ् व ि ं श त ि प ् र श ् न े ष ु |
चतुर्विंशे	च त ु र ् व ि ं श े |
चतुर्विंशेदिनाङ्के	च त ु र ् व ि ं श े द ि न ा ङ ् क े |
चतुर्षु	च त ु र ् ष ु |
चतुर्होतृरात्मस्परणानपश्यत्	च त ु र ् ह ो त ृ र ा त ् म स ् प र ण ा न प श ् य त ् |
चतुश्चत्वारिंशत्तमंवार्षिक्याः	च त ु श ् च त ् व ा र ि ं श त ् त म ं व ा र ् ष ि क ् य ा ः |
चतुष्षष्टेः	च त ु ष ् ष ष ् ट े ः |
चतुस्त्रिंशदुत्तरत्रिशतम्	च त ु स ् त ् र ि ं श द ु त ् त र त ् र ि श त म ् |
चतूरात्रं	च त ू र ा त ् र ं |
चत्वारश्चान्ये	च त ् व ा र श ् च ा न ् य े |
चत्वारि	च त ् व ा र ि |
चत्वारिंशतः	च त ् व ा र ि ं श त ः |
चत्वारिंशतो	च त ् व ा र ि ं श त ो |
चत्वारिंशद्	च त ् व ा र ि ं श द ् |
चत्वारो	च त ् व ा र ो |
चत्वार्येव	च त ् व ा र ् य े व |
चन्द्रः	च न ् द ् र ः |
चन्द्रबाबूनायडूः	च न ् द ् र ब ा ब ू न ा य ड ू ः |
चन्द्रमसौ	च न ् द ् र म स ौ |
चन्द्रमाः	च न ् द ् र म ा ः |
चन्द्रमौलिः	च न ् द ् र म ौ ल ि ः |
चन्द्रशेखररावः	च न ् द ् र श े ख र र ा व ः |
चरणञ्च	च र ण ञ ् च |
चरणद्वये	च र ण द ् व य े |
चरणबद्धरीत्या	च र ण ब द ् ध र ी त ् य ा |
चरणयोः	च र ण य ो ः |
चरणे	च र ण े |
चलचित्राभिनेत्री	च ल च ि त ् र ा भ ि न े त ् र ी |
चलति	च ल त ि |
चषकफ़ुटबॉलस्पर्धा	च ष क फ ़ ु ट ब ॉ ल स ् प र ् ध ा |
चषकीयपादकन्दुकस्पर्धा	च ष क ी य प ा द क न ् द ु क स ् प र ् ध ा |
चषकीयपादकन्दुकस्पर्धाविजयार्थं	च ष क ी य प ा द क न ् द ु क स ् प र ् ध ा व ि ज य ा र ् थ ं |
चां	च ा ं |
चांडी	च ा ं ड ी |
चाइनाओपन्बैडमिण्टन्स्पर्धामालिकायाः	च ा इ न ा ओ प न ् ब ै ड म ि ण ् ट न ् स ् प र ् ध ा म ा ल ि क ा य ा ः |
चातुर्मास्य	च ा त ु र ् म ा स ् य |
चाधिगतम्	च ा ध ि ग त म ् |
चाधृत्यापि	च ा ध ृ त ् य ा प ि |
चापि	च ा प ि |
चामृतम्	च ा म ृ त म ् |
चार्यन्ते	च ा र ् य न ् त े |
चासौ	च ा स ौ |
चाहताः	च ा ह त ा ः |
चिकित्सालये	च ि क ि त ् स ा ल य े |
चिञ्च्यते	च ि ञ ् च ् य त े |
चितः	च ि त ः |
चितैः	च ि त ै ः |
चित्क्षेत्रेषु	च ि त ् क ् ष े त ् र े ष ु |
चित्रकूटं	च ि त ् र क ू ट ं |
चिदम्बरम्	च ि द म ् ब र म ् |
चिन्तनीयो	च ि न ् त न ी य ो |
चिन्तां	च ि न ् त ा ं |
चिन्ताकरी	च ि न ् त ा क र ी |
चिन्तितमस्ति	च ि न ् त ि त म स ् त ि |
चिन्हम्	च ि न ् ह म ् |
चिरकाल	च ि र क ा ल |
चिरात्	च ि र ा त ् |
चिराद	च ि र ा द |
चिराद्	च ि र ा द ् |
चीन	च ी न |
चीनप्रवासं	च ी न प ् र व ा स ं |
चीनराष्ट्रपतिना	च ी न र ा ष ् ट ् र प त ि न ा |
चीनराष्ट्राध्यक्षेण	च ी न र ा ष ् ट ् र ा ध ् य क ् ष े ण |
चीनविदेशमन्त्री	च ी न व ि द े श म न ् त ् र ी |
चीन्विदेशमन्त्री	च ी न ् व ि द े श म न ् त ् र ी |
चीयते	च ी य त े |
चेतुं	च े त ु ं |
चेतुम्	च े त ु म ् |
चेत्	च े त ् |
चेन्नईसुपर्	च े न ् न ई स ु प र ् |
चेन्नईसुपर्किंग्स्दलेन	च े न ् न ई स ु प र ् क ि ं ग ् स ् द ल े न |
चेष्टते	च े ष ् ट त े |
चैतन्य	च ै त न ् य |
चैतन्यघनात्	च ै त न ् य घ न ा त ् |
चैतन्यस्य	च ै त न ् य स ् य |
चैतन्यस्वरूपं	च ै त न ् य स ् व र ू प ं |
चैतानि	च ै त ा न ि |
चोरभयात्	च ो र भ य ा त ् |
चौल	च ौ ल |
चौलकर्म	च ौ ल क र ् म |
चौलस्य	च ौ ल स ् य |
च्युतिरहितः	च ् य ु त ि र ह ि त ः |
छत्तीसगढे	छ त ् त ी स ग ढ े |
छत्तीसगढ्राज्यपालः	छ त ् त ी स ग ढ ् र ा ज ् य प ा ल ः |
छत्तीस्गढस्य	छ त ् त ी स ् ग ढ स ् य |
छत्वारः	छ त ् व ा र ः |
छद्मव्यवहारार्थं	छ द ् म व ् य व ह ा र ा र ् थ ं |
छन्दाकलनं	छ न ् द ा क ल न ं |
छन्दाकलनानि	छ न ् द ा क ल न ा न ि |
छन्दो	छ न ् द ो |
छात्र	छ ा त ् र |
छात्राः	छ ा त ् र ा ः |
छात्राणां	छ ा त ् र ा ण ा ं |
छात्रान्	छ ा त ् र ा न ् |
छात्रेषु	छ ा त ् र े ष ु |
छान्दसप्रयोगाः	छ ा न ् द स प ् र य ो ग ा ः |
छान्दसप्रयोगात्	छ ा न ् द स प ् र य ो ग ा त ् |
छाय	छ ा य |
छिन्नः	छ ि न ् न ः |
जंगम्	ज ं ग म ् |
जगतः	ज ग त ः |
जगति	ज ग त ि |
जगत्	ज ग त ् |
जगत्सृष्टिरक्षणं	ज ग त ् स ृ ष ् ट ि र क ् ष ण ं |
जगदित्यपि	ज ग द ि त ् य प ि |
जगद्भवतीत्यत्र	ज ग द ् भ व त ी त ् य त ् र |
जगन्नाथपुर्यां	ज ग न ् न ा थ प ु र ् य ा ं |
जघन्यतमम्	ज घ न ् य त म म ् |
जङ्गमभारवाहियानैः	ज ङ ् ग म भ ा र व ा ह ि य ा न ै ः |
जटघनादिपाठाः	ज ट घ न ा द ि प ा ठ ा ः |
जद्यू	ज द ् य ू |
जन	ज न |
जनः	ज न ः |
जनक	ज न क |
जनता	ज न त ा |
जनपददण्डाधिकारी	ज न प द द ण ् ड ा ध ि क ा र ी |
जनपदप्रशासनेन	ज न प द प ् र श ा स न े न |
जनपदशासनेन	ज न प द श ा स न े न |
जनपदसत्रन्यायालयः	ज न प द स त ् र न ् य ा य ा ल य ः |
जनपदस्य	ज न प द स ् य |
जनपदाधिकारिभिः	ज न प द ा ध ि क ा र ि भ ि ः |
जनपदे	ज न प द े |
जनपदेषु	ज न प द े ष ु |
जनयेत्	ज न य े त ् |
जनरल्	ज न र ल ् |
जनरल्दलबीरसिंहसुहागः	ज न र ल ् द ल ब ी र स ि ं ह स ु ह ा ग ः |
जनरल्सुहागेन	ज न र ल ् स ु ह ा ग े न |
जनाः	ज न ा ः |
जनादेशं	ज न ा द े श ं |
जनादेशः	ज न ा द े श ः |
जनानां	ज न ा न ा ं |
जनान्	ज न ा न ् |
जनेभ्यः	ज न े भ ् य ः |
जनैः	ज न ै ः |
जन्म	ज न ् म |
जप्य	ज प ् य |
जमीलुद्दीन्नसीरः	ज म ी ल ु द ् द ी न ् न स ी र ः |
जमुनामुख	ज म ु न ा म ु ख |
जम्मु	ज म ् म ु |
जम्मू	ज म ् म ू |
जम्मूकश्मीर	ज म ् म ू क श ् म ी र |
जम्मूकश्मीरे	ज म ् म ू क श ् म ी र े |
जम्मूजनपदस्य	ज म ् म ू ज न प द स ् य |
जम्मूश्रीनगरराष्ट्रिय	ज म ् म ू श ् र ी न ग र र ा ष ् ट ् र ि य |
जय	ज य |
जयन्तेन	ज य न ् त े न |
जरासन्धः	ज र ा स न ् ध ः |
जरासन्धयोः	ज र ा स न ् ध य ो ः |
जर्मनी	ज र ् म न ी |
जर्मनीअर्जेन्टीनादले	ज र ् म न ी अ र ् ज े न ् ट ी न ा द ल े |
जर्मनीदेशः	ज र ् म न ी द े श ः |
जर्मनीदेशीयं	ज र ् म न ी द े श ी य ं |
जर्मनीराष्द्रं	ज र ् म न ी र ा ष ् द ् र ं |
जल	ज ल |
जलं	ज ल ं |
जलपूर	ज ल प ू र |
जलमग्नमस्ति	ज ल म ग ् न म स ् त ि |
जलस्य	ज ल स ् य |
जलान्तर्वर्तिनौसैन्यपोतः	ज ल ा न ् त र ् व र ् त ि न ौ स ै न ् य प ो त ः |
जलाप्लावदुष्प्रभाविताः	ज ल ा प ् ल ा व द ु ष ् प ् र भ ा व ि त ा ः |
जलाप्लावेन	ज ल ा प ् ल ा व े न |
जलौघ	ज ल ौ घ |
जलौघदुष्प्रभाविते	ज ल ौ घ द ु ष ् प ् र भ ा व ि त े |
जलौघस्थितिः	ज ल ौ घ स ् थ ि त ि ः |
जवातिशायिरेल्यानप्रचालनञ्च	ज व ा त ि श ा य ि र े ल ् य ा न प ् र च ा ल न ञ ् च |
जवाहर्	ज व ा ह र ् |
जवीयसा	ज व ी य स ा |
जवीयस्या	ज व ी य स ् य ा |
जातं	ज ा त ं |
जातः	ज ा त ः |
जातमात्र	ज ा त म ा त ् र |
जातम्	ज ा त म ् |
जातये	ज ा त य े |
जाता	ज ा त ा |
जाताः	ज ा त ा ः |
जातानि	ज ा त ा न ि |
जान्युआरिमासे	ज ा न ् य ु आ र ि म ा स े |
जापानदेशस्य	ज ा प ा न द े श स ् य |
जापानीयः	ज ा प ा न ी य ः |
जापानीयनागरिकस्य	ज ा प ा न ी य न ा ग र ि क स ् य |
जायते	ज ा य त े |
जायत्	ज ा य त ् |
जायन्ते	ज ा य न ् त े |
जायमानो	ज ा य म ा न ो |
जावडेकरः	ज ा व ड े क र ः |
जावडेकरेण	ज ा व ड े क र े ण |
जावेद्उस्मानीवरेण	ज ा व े द ् उ स ् म ा न ी व र े ण |
जितनराममांझी	ज ि त न र ा म म ा ं झ ी |
जिन्नाह्अन्ताराष्ट्रियविमान	ज ि न ् न ा ह ् अ न ् त ा र ा ष ् ट ् र ि य व ि म ा न |
जीतू	ज ी त ू |
जीवन	ज ी व न |
जीवनसहायिप्रणाल्याम्	ज ी व न स ह ा य ि प ् र ण ा ल ् य ा म ् |
जीवनस्तरोन्नयनार्थं	ज ी व न स ् त र ो न ् न य न ा र ् थ ं |
जीवनोस्	ज ी व न ो स ् |
जीवन्तो	ज ी व न ् त ो |
जीविंशतिराष्ट्र	ज ी व ि ं श त ि र ा ष ् ट ् र |
जीविनां	ज ी व ि न ा ं |
जीविनो	ज ी व ि न ो |
जीवेत्	ज ी व े त ् |
जुलाईमासे	ज ु ल ा ई म ा स े |
जुहोति	ज ु ह ो त ि |
जूण्	ज ू ण ् |
जे	ज े |
जेटली	ज े ट ल ी |
जेडीयूइतिस्वदलीयपराजयस्य	ज े ड ी य ू इ त ि स ् व द ल ी य प र ा ज य स ् य |
जैश्ईमोहम्मद्	ज ै श ् ई म ो ह म ् म द ् |
जॉन्	ज ॉ न ् |
जॉन्कैरीः	ज ॉ न ् क ै र ी ः |
जौहरसुल्तान्चषकहॉकी	ज ौ ह र स ु ल ् त ा न ् च ष क ह ॉ क ी |
ज्ञाता	ज ् ञ ा त ा |
ज्ञानपीठपुरस्कारभाक्	ज ् ञ ा न प ी ठ प ु र स ् क ा र भ ा क ् |
ज्ञानमयं	ज ् ञ ा न म य ं |
ज्ञायन्ते	ज ् ञ ा य न ् त े |
ज्योतिश्शाग्त्त्रात्	ज ् य ो त ि श ् श ा ग ् त ् त ् र ा त ् |
ज्योतिश्शास्त्रमति	ज ् य ो त ि श ् श ा स ् त ् र म त ि |
ज्योतिश्शास्त्रमपि	ज ् य ो त ि श ् श ा स ् त ् र म प ि |
ज्योतिश्शास्त्रादेव	ज ् य ो त ि श ् श ा स ् त ् र ा द े व |
ज्योतिश्शास्त्रे	ज ् य ो त ि श ् श ा स ् त ् र े |
ज्योतिष्टोमेन	ज ् य ो त ि ष ् ट ो म े न |
ज्योतोश्शास्त्रादेवां	ज ् य ो त ो श ् श ा स ् त ् र ा द े व ा ं |
ज्वरनिवारणार्थं	ज ् व र न ि व ा र ण ा र ् थ ं |
झटिति	झ ट ि त ि |
झार्खण्डे	झ ा र ् ख ण ् ड े |
टन्	ट न ् |
टुण्डीखेलस्थले	ट ु ण ् ड ी ख े ल स ् थ ल े |
टेनिस्क्रीडिका	ट े न ि स ् क ् र ी ड ि क ा |
ट्रक्	ट ् र क ् |
ठाकुरेण	ठ ा क ु र े ण |
ड	ड |
डिसेंबर्	ड ि स े ं ब र ् |
डिसेम्बर्	ड ि स े म ् ब र ् |
डी	ड ी |
डीजलतैल	ड ी ज ल त ै ल |
डीजल्तैल	ड ी ज ल ् त ै ल |
डीजल्तैलमूल्यं	ड ी ज ल ् त ै ल म ू ल ् य ं |
डीबीटीएल्इति	ड ी ब ी ट ी ए ल ् इ त ि |
डीवीसदानन्दगौडः	ड ी व ी स द ा न न ् द ग ौ ड ः |
डॉ	ड ॉ |
डॉहर्षवर्धनः	ड ॉ ह र ् ष व र ् ध न ः |
ढाकायां	ढ ा क ा य ा ं |
त	त |
तं	त ं |
तक्तुं	त क ् त ु ं |
तटे	त ट े |
तडागे	त ड ा ग े |
तत	त त |
ततः	त त ः |
ततम्	त त म ् |
ततो	त त ो |
ततोर्	त त ो र ् |
तत्	त त ् |
तत्कथं	त त ् क थ ं |
तत्काल	त त ् क ा ल |
तत्कुरुष्व	त त ् क ु र ु ष ् व |
तत्कोटिषु	त त ् क ो ट ि ष ु |
तत्तन्मन्त्राः	त त ् त न ् म न ् त ् र ा ः |
तत्तु	त त ् त ु |
तत्र	त त ् र |
तत्रं	त त ् र ं |
तत्रप्रश्नत्रयाणां	त त ् र प ् र श ् न त ् र य ा ण ा ं |
तत्रां	त त ् र ा ं |
तत्रापि	त त ् र ा प ि |
तत्रासौ	त त ् र ा स ौ |
तत्रैव	त त ् र ै व |
तत्समीपकाल	त त ् स म ी प क ा ल |
तथ	त थ |
तथा	त थ ा |
तथां	त थ ा ं |
तथापि	त थ ा प ि |
तथैव	त थ ै व |
तथैवयज्जुहोषि	त थ ै व य ज ् ज ु ह ो ष ि |
तदनुष्ठातुं	त द न ु ष ् ठ ा त ु ं |
तदपि	त द प ि |
तदरेतत्सत्यं	त द र े त त ् स त ् य ं |
तदस्ति	त द स ् त ि |
तदा	त द ा |
तदानीं	त द ा न ी ं |
तदास्यति	त द ा स ् य त ि |
तदाहुतिपरिणात्मकं	त द ा ह ु त ि प र ि ण ा त ् म क ं |
तदीयनेत्रि	त द ी य न े त ् र ि |
तदीयमित्र	त द ी य म ि त ् र |
तदीयश्च	त द ी य श ् च |
तदीयसहयोगिनद्याश्च	त द ी य स ह य ो ग ि न द ् य ा श ् च |
तदुत्पन्नमेव	त द ु त ् प न ् न म े व |
तदुभयं	त द ु भ य ं |
तदृण	त द ृ ण |
तदेव	त द े व |
तदैव	त द ै व |
तद्	त द ् |
तद्दीय्	त द ् द ी य ् |
तद्देशीययात्रार्थं	त द ् द े श ी य य ा त ् र ा र ् थ ं |
तद्देशीयेषु	त द ् द े श ी य े ष ु |
तद्धेतु	त द ् ध े त ु |
तद्विकार	त द ् व ि क ा र |
तनू	त न ू |
तपः	त प ः |
तपसा	त प स ा |
तमभ्यर्चेत्	त म भ ् य र ् च े त ् |
तमाखूत्पादानां	त म ा ख ू त ् प ा द ा न ा ं |
तमिलनाडुराज्यस्य	त म ि ल न ा ड ु र ा ज ् य स ् य |
तमेतं	त म े त ं |
तयैतत्	त य ै त त ् |
तयोः	त य ो ः |
तयोस्संबन्धं	त य ो स ् स ं ब न ् ध ं |
तयोस्सम्बन्ध	त य ो स ् स म ् ब न ् ध |
तरेषु	त र े ष ु |
तर्क	त र ् क |
तर्पणक्रमः	त र ् प ण क ् र म ः |
तर्पणादिषु	त र ् प ण ा द ि ष ु |
तर्हि	त र ् ह ि |
तव	त व |
तसै	त स ै |
तस्मात्	त स ् म ा त ् |
तस्मिन्	त स ् म ि न ् |
तस्मिन्नग्नौ	त स ् म ि न ् न ग ् न ौ |
तस्मै	त स ् म ै |
तस्य	त स ् य |
तस्या	त स ् य ा |
तस्याः	त स ् य ा ः |
तस्यापि	त स ् य ा प ि |
तस्यै	त स ् य ै |
तहरीकएतालिबानसंघटनं	त ह र ी क ए त ा ल ि ब ा न स ं घ ट न ं |
तात्कालिकपरिवर्तनं	त ा त ् क ा ल ि क प र ि व र ् त न ं |
तात्पर्यस्य	त ा त ् प र ् य स ् य |
तादृशान्	त ा द ृ श ा न ् |
तानि	त ा न ि |
तान्	त ा न ् |
तान्त्रिकव्यूहस्य	त ा न ् त ् र ि क व ् य ू ह स ् य |
तान्त्रिकसंयुतिः	त ा न ् त ् र ि क स ं य ु त ि ः |
तान्त्रिकसंयुतिप्रशासनस्य	त ा न ् त ् र ि क स ं य ु त ि प ् र श ा स न स ् य |
तान्त्रिकसंयुतेः	त ा न ् त ् र ि क स ं य ु त े ः |
तान्यपि	त ा न ् य प ि |
तालिबानाक्रमणम्	त ा ल ि ब ा न ा क ् र म ण म ् |
तावत्	त ा व त ् |
तावत्कालपर्यन्तं	त ा व त ् क ा ल प र ् य न ् त ं |
तिथिनिर्धारणञ्चाभिलक्ष्य	त ि थ ि न ि र ् ध ा र ण ञ ् च ा भ ि ल क ् ष ् य |
तिरकित्नगरे	त ि र क ि त ् न ग र े |
तिष्ठति	त ि ष ् ठ त ि |
तिष्ठेत	त ि ष ् ठ े त |
तिष्ठेयुः	त ि ष ् ठ े य ु ः |
तिस्रः	त ि स ् र ः |
तीर्थ	त ी र ् थ |
तीर्थे	त ी र ् थ े |
तीव्रतरं	त ी व ् र त र ं |
तु	त ु |
तुर्की	त ु र ् क ी |
तृतीय	त ृ त ी य |
तृतीयं	त ृ त ी य ं |
तृतीयस्थानार्थं	त ृ त ी य स ् थ ा न ा र ् थ ं |
तृतीयायाम्	त ृ त ी य ा य ा म ् |
ते	त े |
तेन	त े न |
तेनां	त े न ा ं |
तेनापि	त े न ा प ि |
तेनेन्द्रियञ्च	त े न े न ् द ् र ि य ञ ् च |
तेनोक्तं	त े न ो क ् त ं |
तेनोदीरितं	त े न ो द ी र ि त ं |
तेपि	त े प ि |
तेपिधर्मज्ञाः	त े प ि ध र ् म ज ् ञ ा ः |
तेयज्ञाः	त े य ज ् ञ ा ः |
तेलंगाना	त े ल ं ग ा न ा |
तेलंगानाक्षेत्रेभ्यः	त े ल ं ग ा न ा क ् ष े त ् र े भ ् य ः |
तेलंगानाबस्दुर्घनायां	त े ल ं ग ा न ा ब स ् द ु र ् घ न ा य ा ं |
तेलंगानाराज्यसमितेः	त े ल ं ग ा न ा र ा ज ् य स म ि त े ः |
तेलंगानाराज्यस्य	त े ल ं ग ा न ा र ा ज ् य स ् य |
तेलंगानाराज्ये	त े ल ं ग ा न ा र ा ज ् य े |
तेलंगानाराष्ट्र	त े ल ं ग ा न ा र ा ष ् ट ् र |
तेलुगुदेशम्पार्टी	त े ल ु ग ु द े श म ् प ा र ् ट ी |
तेलुगुदेशम्पार्टीतिदलाध्यक्षो	त े ल ु ग ु द े श म ् प ा र ् ट ी त ि द ल ा ध ् य क ् ष ो |
तेषां	त े ष ा ं |
तेषामेव	त े ष ा म े व |
तेषाम्	त े ष ा म ् |
तेषु	त े ष ु |
तैः	त ै ः |
तैत्तिरीय	त ै त ् त ि र ी य |
तैस्सर्वैयपि	त ै स ् स र ् व ै य प ि |
तौ	त ौ |
त्यक्तम्	त ् य क ् त म ् |
त्यक्त्वा	त ् य क ् त ् व ा |
त्यागपत्र	त ् य ा ग प त ् र |
त्यागपत्रं	त ् य ा ग प त ् र ं |
त्यागपत्रमिदं	त ् य ा ग प त ् र म ि द ं |
त्यागपत्राणि	त ् य ा ग प त ् र ा ण ि |
त्यागाय	त ् य ा ग ा य |
त्रप्रतिपाद्यन्ते	त ् र प ् र त ि प ा द ् य न ् त े |
त्रयं	त ् र य ं |
त्रयः	त ् र य ः |
त्रयस्य	त ् र य स ् य |
त्रयाणां	त ् र य ा ण ा ं |
त्रयेण	त ् र य े ण |
त्रयोदश	त ् र य ो द श |
त्रयोदशवर्षीयेण	त ् र य ो द श व र ् ष ी य े ण |
त्रयोदशे	त ् र य ो द श े |
त्रयोविंशतिः	त ् र य ो व ि ं श त ि ः |
त्रयोविंशे	त ् र य ो व ि ं श े |
त्रिंशत्	त ् र ि ं श त ् |
त्रिंशत्तमराज्य	त ् र ि ं श त ् त म र ा ज ् य |
त्रिंशत्प्रश्नात्मकः	त ् र ि ं श त ् प ् र श ् न ा त ् म क ः |
त्रिंशद्गृहेषु	त ् र ि ं श द ् ग ृ ह े ष ु |
त्रिचतुराः	त ् र ि च त ु र ा ः |
त्रिचत्वारिंशदुत्तरपञ्चशतसदस्यात्मिकायां	त ् र ि च त ् व ा र ि ं श द ु त ् त र प ञ ् च श त स द स ् य ा त ् म ि क ा य ा ं |
त्रिदिवसीययात्रा	त ् र ि द ि व स ी य य ा त ् र ा |
त्रिभिर्	त ् र ि भ ि र ् |
त्रिलक्षरूप्यकमिता	त ् र ि ल क ् ष र ू प ् य क म ि त ा |
त्रिवर्निकः	त ् र ि व र ् न ि क ः |
त्रिवर्षात्मकं	त ् र ि व र ् ष ा त ् म क ं |
